"Clean Code - Uncle Bob;The name of a variable, function, or class, should answer all the big questions. It should tell you why it exists, what it does, and how it is used. If a name requires a comment, then the name does not reveal its intent."
Clean Code - Uncle Bob;The length of a name should correspond to the size of its scope
"Clean Code - Uncle Bob;When constructors are overloaded, use static factory methods with names that describe the arguments. For example, Click here to view code image    Complex fulcrumPoint = Complex.FromRealNumber(23.0); is generally better than Click here to view code image    Complex fulcrumPoint = new Complex(23.0); Consider enforcing their use by making the corresponding constructors private."
"Clean Code - Uncle Bob;We can describe the function by describing it as a brief TO4 paragraph: 4. The LOGO language used the keyword “TO” in the same way that Ruby and Python use “def.” So every function began with the word “TO.” This had an interesting effect on the way functions were designed. TO RenderPageWithSetupsAndTeardowns, we check to see whether the page is a test page and if so, we include the setups and teardowns. In either case we render the page in HTML."
Clean Code - Uncle Bob;One Level of Abstraction per Function
Clean Code - Uncle Bob;Listing 3-5 Employee and Factory
Clean Code - Uncle Bob;Passing a boolean into a function is a truly terrible practice.
"Clean Code - Uncle Bob;A function with two arguments is harder to understand than a monadic function. For example, writeField(name) is easier to understand than writeField(output-Stream, name).10 Though the meaning of both is clear, the first glides past the eye, easily depositing its meaning. The second requires a short pause until we learn to ignore the first parameter. And that, of course, eventually results in problems because we should never ignore any part of code. The parts we ignore are where the bugs will hide."
"Clean Code - Uncle Bob;Have No Side Effects Side effects are lies. Your function promises to do one thing, but it also does other hidden things."
"Clean Code - Uncle Bob;In the end, I wind up with functions that follow the rules I’ve laid down in this chapter. I don’t write them that way to start. I don’t think anyone could."
Clean Code - Uncle Bob;“Don’t comment bad code—rewrite it.”
Clean Code - Uncle Bob;The proper use of comments is to compensate for our failure to express ourself in code.
Clean Code - Uncle Bob;Another use for white space is to accentuate the precedence of operators.
Clean Code - Uncle Bob;I can’t tell you how many times I’ve been fooled by a semicolon silently sitting at the end of a while loop on the same line.
Clean Code - Uncle Bob;In both of the above cases the second option is preferable. We do not want to expose the details of our data. Rather we want to express our data in abstract terms. This is not merely accomplished by using interfaces and/or getters and setters. Serious thought needs to be put into the best way to represent the data that an object contains. The worst option is to blithely add getters and setters.
